[rosmaster.master][INFO] 2019-04-02 21:48:49,450: -PUB [/camera/depth/image_raw] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,451: -PUB [/camera/depth/image_rect_raw] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,451: -PUB [/camera/depth/disparity] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,452: -PUB [/camera/depth/image_rect] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,452: -PUB [/camera/depth/points] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,457: -SERVICE [/play_1554241702899875567/get_loggers] /play_1554241702899875567 rosrpc://9fe54ba3caf9:43995
[rosmaster.master][INFO] 2019-04-02 21:48:49,457: -SERVICE [/play_1554241702899875567/set_logger_level] /play_1554241702899875567 rosrpc://9fe54ba3caf9:43995
[rosmaster.master][INFO] 2019-04-02 21:48:49,504: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:48:49,505: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:49:29,122: -SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:49:29,122: -PUB [/rosout] /depthtest http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:49:29,122: -SERVICE [/depthtest/get_loggers] /depthtest rosrpc://9fe54ba3caf9:45671
[rosmaster.master][INFO] 2019-04-02 21:49:29,123: -SERVICE [/depthtest/set_logger_level] /depthtest rosrpc://9fe54ba3caf9:45671
[rosmaster.master][INFO] 2019-04-02 21:49:29,163: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:49:31,047: +PUB [/rosout] /depthtest http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:31,052: +SERVICE [/depthtest/get_loggers] /depthtest http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:31,053: +SERVICE [/depthtest/set_logger_level] /depthtest http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:31,056: +SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:31,067: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:49:33,958: +PUB [/rosout] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,959: +SERVICE [/play_1554241773955301575/get_loggers] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,960: +SERVICE [/play_1554241773955301575/set_logger_level] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:33,961: +PUB [/clock] /play_1554241773955301575 http://9fe54ba3caf9:33217/
